da; آنجا
- da es so ...; از بَسکه
- da es so heiss war; از بَسکه هَوا گَرم بود
- da oben; آن بالا
- ich bin da; مَن رِسیدَم
- da hinein musst du gehen; بِآن تو بایَد بِرَوى
- hier & da; اینجا و آنجا
dabei;
- dabei sein; دَر جائى حُضور داشتَن
- er war mit dabei; او روى ِ صَحنه بود
- ich bin dabei, zu schreiben; مَن دارَم مى نِویسَم
- ich war dabei, zu schreiben; مَن داشتَم مى نِوِشتَم
- sind dabei, gedruckt zu werden; دَر دَست ِ چاپ است
- es bleibt dabei, dass; پَس قَرار شُد که
- was ist schon dabei?; چه عِیبى دارَد؟، مَگه چى شُده؟
dabeihaben;
- Brot dabeihaben; نان به هَمراه آوَردَن
- wenn es mir erlaubt ist, dabeizuhaben; اَگَر به مَن اِجازهٔ هَمراه داشتن ِ ... داده می شُد
Dach; بام، خَرپُشته
- ein Dach über dem Kopf haben; سَقفى بالاى ِ سَر داشتَن
- etwas unter Dach & Fach bringen; به چیزى سَر و سامان دادَن، چیزى را رَدیف کَردَن
- das Geschäft unter Dach & Fach bringen; مُعامِله را بُردَن، ـ کَردَن
- Flachdach; بام ِ مُساطَح، بام بِدون شیب
- Satteldach; شیروانه
- Kuppeldach; طاق، طارُم
- Wellblechdach; شیروانى ِ موجدار
Dachbalken; شاه تیر، داربام
Dachdecker; شیروانى کوب، سَقاف، سَقف ساز
Dachfenster; پَنچرهٔ سَقفى، پَنجَرهٔ پُشت ِ بام
Dachfirst; خَرپُشتهٔ شیروانى
Dachgeschoss; طَبَقهٔ فوقانى
Dachkammer; اُتاق ِ زیر ِ شیروانى
Dachorganisation; سازمان ِ فَراگیر، سازمان ِ مَرکَزى
Dachpappe; قیر ِ سَقف
Dachpfanne; سُفال، سوفال
Dachrinne; ناودان
Dachs; گورکَن
Dachschindel; توفالى ِ سَقف
Dachsims; لب ِ بام
Dachverband; اِتِحادیهٔ فَراگیر، اِتِحادیهٔ مَرکَزى
Dachziegel; سُفالهاى ِ سَقف
Dachzimmer; بالاخانه
dadurch; بِجَهَت ِ آنکه، بِعِلَت ِ اینکه
- dadurch, dass ...; از اینکه، از آنجا که
dafür;
- dafür, dass ...; از اینکه، دَر عَوَض ِ ـ
- er kann nichts dafür; تَقصیر ِ او نیست
- dafür oder dagegen; بَر لَه ِ آن یا عَلِیه ِ آن
- dafür brauchst du nicht bezahlen; بَراى ِ این نَبایَد بِپَردازى
dagegen;
- bist du dagegen, wenn ...; با ... مُخالِفى؟
- dagegen habe ich nichts einzuwenden; حَرفى نَدارَم، مُخالِفَتى ـ
- meine Frage dagegen ist; سُؤالَم دُرُست عَکس ِ این است
dagewesen;
- noch nie dagewesen; عَدیم اُلوُقوع
daher; این بود که
dahin;
- die Zeit ist dahin; زَمان گُذَشت
- mehr nach dahin; آنطَرَف تَر
dahineilen; پوئیدَن
dahingeben; کِسی را دَریغ نَداشتَن، - اَز دَست دادَن
dahingehend;
- dahingehend vermutet, dass ...; بَر این باوَر است که
dahinschleppen;
- eine Sache schleppt s. dahin; چیزى با اِشکال و کُندى پیش مى رَوَد
- s. dahinschleppen, in den Tag hineinleben; لِک و لِک کَردَن
dahinterstecken;
- es steckt etwas dahinter; کاسه ای زیر ِ نیم کاسه هَست، چیزى دَر پَس ِ این پَرده است، ـ زیر ِ پَرده است
- ich weiß nicht genau, was dahintersteckt; مَعلوم نیست چه کاسه ای زیر ِ نیم کاسه هَست
dalli; زود باش
damals; قََبلا، سابِقاً
- seit damals; از آن ِ بَعید
Dame;
- Dame, Hausherrin; بانو، بى بى
- meine Damen & Herren; خانُمها و آقایان ِ مُحتَرَم
Damenski; اِسکى ِ بانوان
damit; تا اینکه ..، با اینکه ..، بَراى ِ آنکه
- damit nicht ...; تا مَبادا
- damit du nicht fällst; تا مَبادا بیُفتى
- er redete, damit überhaupt was gesagt wurde; او این حَرف را زَد تا چیزى گُفته باشَد
- wieviel sparen wir damit monatlich ein?; از این راه ماهى چَند صَرفه جوئى مى کُنیم؟
Damm; سَد، آب بَند
Dämmerlicht; نور ِ شَفَق، کَمنورى
Dämmerung; شَفَق، فَجر، گُرگ و میش، نیمه روشَن، تاریک ِ روشَن
- Abenddämmerung; غُروب
- Morgendämmerung; صُبگاه، طُلوع
Dämmstoff; مادهٔ عایِق کُنَنده
Dämon; روح ِ پَلید، دیو
Dampf;
- bei mir war der Dampf draussen; اُفتاده بودَم، صِفر شُدَم
- Tuch, das den Dampf auffängt (beim Reiskocher); دَم کَنى
- Hans Dampf in allen Gassen; هَمه کاره هیچ کاره
- Wasserdampf; بُخار ِ آب
dampfen; بُخار دادَن
dämpfen;
- dämpfen (beim Bügeln); با بُخار ِ اُتو زَدَن
- die Stimme dämpfen; (präs.) (صِدارا خَفه کَردَن، کاستَن (مى کاهَد
Dämpfen (best. Reisgericht); دَمپُختِگی
Dampfer; کِشتى ِ بُخارى
Dämpfer; صِدا کَر کُن، - خَفه کُن
- jem. einen Dämpfer geben; آتَش ِ کِسى را فُرو نِشاندَن، بایَد گوشمال ِ کِسى بِدَهَد
Dämpfung; خَفِگى ِ صِدا
danach; بَعداً، مابَعد
- es sieht danach aus; مِثل ِ اینکه
daneben;
- der Schlag ging daneben; لَگَد به خَطا رَفت
- der Schuss ging daneben; تیر خَطا رَفت، گُلوله اِصابَت نَکرد
- Danebensitzender; بَغَل دَستی
dank;
- dank, auf Grund; بِسَبَبِ، به خاطِرِ
- dank deiner Freundlichkeit; از مُحَبَت ِ تو، از اِلتِفات ِ تو
Dank; تَشَکُر، شُکر
- vielen Dank für deine Mühe; دَست ِ شُما دَرد نَکُنَد
- jemandem zu Dank verpflichtet sein; خِیلى از کِسى مُتشَکِر بودَن، مِنَت ِ کِسى را کِشیدَن
- ich weiss mich gegenüber Herrn ... zu Dank verpflichtet; اِداى ِ دِین مى کُنَم به آقاى ِ فِلان
- 1000 Dank meinerseits; یِک دُنیا سِپاسگُزارَم
dankbar;
- wie sehr ich dir dankbar bin, wenn ...; تا چه حَد مِنَت دارَت خواهَم شُد اَگَر
- s. dankbar & erkenntlich zeigen; اِظهار ِ تَشَکُر و اِمتِنان کَردَن
- dankbar sein;  .مُتَشَکِر بودَن، سِپاسگُذار ب.، مَمنون ب.، شُکرگُذار ب.، شاکِر ب
- für die Bestätigung bin ich dankbar; اِعلام وُصول موجِب ِ اِمتِنان خواهَم بود
Dankbarkeit; حَق شِناسى، اِمتِنان، نَمَک شِناسى، شُکرگُذارى
- aus Dankbarkeit heraus etwas tun; از روى ِ مِنَت این کاررا اَنجام دادَن
danken; تَشَکُر کَردَن
- ich danke Ihnen; مَن از شما تَشَکُر می کُنَم
dankenswerterweise; شاکِرانه
Danksagung; سِپاسگُذارى
Dankschreiben; نامهٔ سِپاسگُذارى، تَشَکُرنامه
dann;
- dann, wenn; به شَرط ِ اینکه ... سِپَس، پَس
- und dann, wenn ... sind ...; چِنانچه ... باشند
- und dann?; آخَرِش چی؟
- schwierig wird es dann, wenn; مُشکِل ِ موقِعى دوچَندان مى شَوَد که
- dann, wenn ... wäre er zu nichts mehr in der Lage; اَگَر ... کارى از دَستَش بَر نِمى آمَد
daran;
- daran erkennst du ...; از این ... مى شِناسى
- daran gibt es keinen Zweifel; دَر این شَک نیست
- ich dachte daran; به یاد ِ آن بودَم
daranmachen (s. -);  .بَنا کَردَن، شُروع ک
- ich machte mich daran, jeden zu begrüssen; مَن بَنا کَردَم تَک تَکِشان را سَلام دَهَم
daransetzen;
- wir müssen alles daransetzen; بایَد هَمه هَمِ مان را صَرف ِ این کار کُنیم
darauf;
- darauf warte ich; مُنتَظِرِش هَستَم، اِنتِظار دارَم که
- wie kommen Sie darauf?; چِطور به این فِکر مى اُفتید؟
- darauf gebe ich nichts; اینرا رَد می کُنَم
- am Tage darauf; روز ِ بَعد
- bei jedem, der das Gespräch auf dieses Thema brachte, sprang er darauf an; هَر کِس سَر ِ صُحبَت را دَر این باره باز مى کَرد وِى دُنباله سُخَن را مى گِرِفت
