e (Vokal über Konsonant); عَلامَت ِ کَسرَه
Ebbe;
- Ebbe & Flut; جَزر و مَد
- bei mir ist Ebbe; کیسه اَم تَه کِشیده است
eben; مُسَطَح، صاف
- das ist eben so; اینطورى است
- gerade eben kam er an; هَمین اَلان رِِسید، تازه آمَد
- eben vor dir ging x; پیش ِ پاى ِ تو فِلان رَفت
- etwas ist eben so geworden; چیزى به این گونه شُد
- die Gegend ist eben; مَنطَقه صاف است، ـ مُسَطَح است
- eine ebene Fläche; سَطح ِ بَرابَر،  ـ ِ تَراز
- er wohnt zu ebener Erde; او طَبَقهٔ هَم کَف زِندِگى مى کُنَد
ebenbürtig;
- ebenbürtig mit; (kofw) هَمرُتبه با، هَمشأن با، هَم کفو
- er behandelt mich wie ebenbürtig; با مَن چون فَردى ِ بَرابَر با خود رَفتار مى کُنَد
Ebene;
- Ebene (geographisch); دَشت، قاع
- die Ebene & die Berge; دَشت و کوها
- senkrechte Ebene; سَطح ِ عَمودى
- auf Regierungsebene; دَر سَطح ِ دولَت
ebenerdig; طَبَقهٔ هَم کَف، سَطح ِ هَموار ِ زَمین
ebenfalls;
- ich möchte ebenfalls gratulieren; مُتَقابِلاً می خواهَم تَبریک بِگویَم
Ebenholz; آبنوس
Eber; خوک ِ نَر
Eberesche; دِرَخت ِ پیشانَک
ebnen; صاف کَردَن، مُسَطَح ک
- den Weg ebnen; مُشکِلات را بَرطَرَف کَردَن
Echo (*: Widerhall); اِنعِکاس، بازتاب، پَژواک، طَنین، دو خوان، اِکو
- meine Aufmerksamkeit gilt dem Echo ihrer Stimmen; چِشمَم به پَژواک ِ صِدایِشان هَست
echt;
- das ist echt; این صَحیح است
- er war echt sauer; حِسابى عَصَبانى بود
- an einer Sache echt Spass haben; از چیزى حِسابى کِیف کَردَن
- sie können echt sein und müssen nicht unecht sein; اَفراد مى تَوانَند اِصالَت ِ وُجود داشته باشنَد نه اَشخاص ِ عاریَتى
- vor Gott kann man echt sein; جِلوى ِ خُدا آدَم میتَوانَد بِدون ِ خُرده شیشه باشَد
- echte Busse; توبهٔ نَصوح، ـ صَمیمانه، ـ از تَه ِ قَلب
- echte Lösung (chem.); مَحلول ِ حَقیقى
- echter Freund; دوست ِ مُخلِص، ـ ِ واقِعى 
- wenn du ein echter Mann bist; تو اَگَر مَرد باشی
- ich komme aus .. und bin echter ...; .... مَن اَهل ِ ... هَستَم و شیر ِ پاک خوردهٔ
- damit echtes & unechtes unterschieden wird; تا سَره و ناسَره از هَم مُتَمایِز باشَد
Echtheit; صِحَت
- Echtheit, Beständigkeit; اِصالت
Eckblech; وَرَقه نَبشى
Ecke;
- der Krämer an der Ecke; بَقال سَر ِ گُذَر
- an jeder Ecke; دَر سَر ِ هَر گُذَر
- in der Ecke der Einsamkeit (liter.); دَر کُنج ِ تَنهائى
- an der Ecke; سَر ِ نَبش، دَر نَبش ِ خیابان
- fahr um die Ecke; از آن نَبش بِپیچ، نَبش را دور بِزَن
- in der Ecke des Zimmers; دَر کُنج ِ اُطاق
- um die Ecke bringen; کِسى را نِفله کَردَن
- etwas kommt um die Ecke; چیزى از چَم ِ کوچه پِیدا می شَوَد
- es fehlt an allen Ecken & Kanten; از هَر جَهَت کَمبود دارَد
- Leute kommen aus allen Ecken & Enden zusammen; مَردُم از گوشه و کِنار ِ کِشوَر جَمع مى شَوَند، از سَرا سَر ِ کِشوَر ـ ، از هَمه جا ـ
eckig; گوشه دار، زاویه دار
Eckpfeiler; رُکن، اَرکان، سُتون نَبشى
edel; شَریف، نَجیب، با شَرَف، عالى
- seine edelsten Empfindungen; اِحساسات ِ لَطیف ِ او
Edelgas; گاز ِ کَمیاب
Edelmetall; فِلِز ِ کَمیاب
edelmütig; بُزُرگمَنِش، جَوانمَرد، سَخى
Edelstahl; فولاد ِ زَنگ نَزَن
Edelstein; (pl.) جوهَر (جَواهِر)، گوهَر
- Achat; عَقیق
- Alabaster; رُخام
- Amethyst; یاقوت ِ بَنَفش
- Bergkristall; دُر ِ کوهى
- Bernstein; کَهربُا
- Brillant; برِلیان
- Diamant; اَلماس
- Jaspis; یَشِم
- Onyx; جَزع
- Rubin; یاقوت ِ سُرخ
- Saphir; یاقوت ِ کَبود
- Smaragd; زُمُرُد، زِبَرجَد
- Topas; یاقوت ِ زَرد
- Türkis; فیروزه
edelsteinbesetzt; جَواهَر نِشان
Edelweiss; رَجل اُلاَسَد
Eden (Garten -); باغ ِ عَدَن، بِهِشت
Edikt; حُکم، فَرمان
editieren; تَنظیم کَردَن، ویرایِش ک.، ویراستَن
Edition; نَشر، چاپ، اِنتِشار، ویرایِش
Editor; تَصحیح کُنَنده، ویراستار، ویرایِشگَر
Edler; (pl.) نَجیب (نُجَبا)، شَریف (اَشراف)، والامَقام
EEG; نِگارهٔ اِلِکتریکى ِ مَغز
Efeu; پیچَک، عَشَقه، لَبلاب، جَلبوت
Effekt; اَثَر، تأثیر
Effekthascherei; لاف و گُزاف، شُهرَت طَلَبى
