Haar; مو
- abstehende Haare; موهاى ِ پاشنه نَخواب
- seine Haare waren verlegen; موهایَش بَد خواب بود
- seine Haare schneiden; موهایَش را زَدَن، کَله اش را ماشین کَردَن
- die Haare stehen zu Berge; فَراخیدَن، مو به اَندام راست مى شَوَند، مو در بَدَن ـ
- fast keine Haare haben; چَهار تا شِوید ِ مو روی ِ کَله داشتَن
- er gleicht ihm aufs Haar; او با فِلان کَس مو نِمى زَنَد
- ungekämmte Haare; موهاى ِ وِز کَرده
- das Haar in Locken legen; مورا فِر زَدَن
- seidiges Haar (einer Katze); گُربهٔ بُراق
- er kann keinem ein Haar krümmen; سَر ِ جوجه را نِمیتواند بِبُرَد، چه رِسد به آدَم کُشى
- das Haar in der Suppe suchen; مو را از ماست کِشیدَن
- Frauenhaar; گیسو
- er hat Stehhaare (Igelfrisur); موهایَش مِثل ِ ماهوت ِ پاک کُن روى ِ سَرَش سیخ شُده
Haarausfall; طاسی
- früher Haarausfall; طاسى ِ زودرَس؛ ریزِش ِ موى ِ زود
Haarband; گیس باف، روبان
Haarentfernung; بَند اَنداختَن
Haareschneiden; سَر زَدَن؛ مو زَنى
Haarfülle; خَرمَن گیسو
Haargefäss; مویرَگ
haargenau;
- haargenau, wörtlich; عِیناً، دَقیقاً
- alles stimmte haargenau; مو لاى دَرزَش نِمى رَفت
haarklein;
- alles haarklein erklären; موضوع را مو به مو توضیح دادَن
Haarknoten; گیسوى ِ پُشت ِ سَر
Haarlocke; فِر، زُلف
Haarriss; تَرَک ِ موئى
Haarschopf; کاکُل
Haarsieb; تَنگ بیز
Haarspalterei; موشِکافى
haarspalterisch; موشِکاف بودَن
Haarsträhnchen; تَره ای از موها
Habe;
- Hab & Gut; مال و مَنال، دار و نَدار، بار و بَندیل
- Hab & Gut habe ich verloren ; دار و نَدارَم از دَست رَفت
haben; داشتَن
- Angst haben; دَر مَعرَض ِ تَرس بودَن، تَرس داشتَن
- etwas nicht haben; از چیزى بى بَهره بودَن، ـ بى نَصیب ب
- bei s. haben; هَمراه اش بودَن، ـ داشتَن
- ich habe 2 Kinder; مَن داراى ِ ۲ تا بَچه هَستَم
- Schimpfworte, die es in s. haben; فُحش ِ آبدارى
- diejenigen, die .. haben, können mitmachen; آنها میتَوانَند با دارا بودَن  ِ ..  شِرکَت کُنَند
- jem., der ewiges Leben hat; او دارَندهٔ زِندِگى ِ جاوید است
- wir hatten noch 3 Stufen vor uns; هَنوز سه تا پِله باقی داشتیم
- dieses Land hat eine besondere Bedeutung als ..;  این کِشوَر اَهَمیَت ِ خاصى بِعُنوان ِ .. قائِل است
- ich habe mit ... zu tun gehabt; با ... ساختَم
- was hat er denn? (popul.); چه اَش است؟، چِشه؟
- um zu zeigen, was er hat; بَرای ِ این كه خودی نِشان بِدَهَد
- wenn er auch sonst nichts hatte, Manieren hatte er; هَر چی نَداشت اَدَب داشت
Habenichts; آدَم ِ آسمان جُل، آدَم ِ بى آتیه و گِدا
- Gernegross & Habenichts; به هَمه چیز تُف مى اَندازَد اما زیر ِ پایَش هَم خالى است
Habenwollen; چَشم ِ طَمَع
Habgier; طَمَع، غَرَض
habgierig; مُغَرِض
habhaft;
- etwas habhaft werden; چیزى را به چَنگ آوَردَن
- alles, dessen sie habhaft werden konnten; هَر چه گیرِشان آمَد
Habitus; شِکل، اَندام، حالَت
habsüchtig; طَماع
Hacke;
- Hacke (z.B. für Strassenarbeiten); بیل، کُلَنگ
- Hacke (für Gartenarbeit); فوکا، تیشه
- s. den ganzen Vormittag die Hacken ablaufen; تَمام ِ صُبح را سَگ دو زَدَن
- Schuhhacken; پاشنهٔ کَفش
hacken;
- Holz hacken; هیزُم شِکَستَن، ـ شِکافتَن
- Zwiebeln kleinhacken; پیازرا رِنده خُرد کَردَن
Hackfleisch; گوشت ِ قِیمه، گوشت ِ چَرخ کَرده
Hackklotz; زیر تَبَرى
Hackmesser; ساطور
Hader; مُنازِعه
- Parteihader; مُشاجرهٔ حِزبى
Hafer; کَرکاس، دوسَر، یولاف
Haferschleim; شوربا
Haff; خَلیج
Haft; زِندان، حَبس، بازدَشت
- sie sind in Haft; آنها دَر بازداشت هَستَند
- jem. in Haft nehmen; کِسی را مًحبوس کَردَن، - به زِندان اَنداختَن
- jem. in Haft halten; کِسی را دَر بازداشت نِگَه داشتَن
- lebenslängliche Haft; حَبس ِ اَبَد، حَبس ِ مادام اُلعُمر
Haftbefehl; حُکم ِ جَلب، ـ دَستگیرى
Haftfähigkeit; قابِلیَت ِ چَسبَندِگى
Haftpflicht; عُهده دارى ِ خِسارَت
Haftung;
- Haftung, Reibung; اِتِصالى، قِید، چَسبَندِگى، اِصطِکاک
- persönliche Haftung; کِفالَت ِ بِالنَفس
Hagel; تَگَرگ
- unsere Ernte hat der Hagel zerstört; خَرمَن ِمارا تَگَرگ زَد
hager; دِیلاق، لاغَر، تَکیده
Hahn; خُروس
Hahnenkamm; کاکُل
Hahnenschrei; خُروسخوان
- vor dem ersten Hahnenschrei; قَبل از خُروسخوان
Hahnrei (betrogener Ehemann); قُرُمساق
Hai; کوسه ماهى
Hain; بیشه
Häkelei; قُلاب بافى، قُلاب دوزى
häkeln; قُلاب بافى کَردَن
haken;
- s. festhaken; گیر شُدَن، ـ کَردَن
- etwas festhaken; چیزى را گیرا کَردَن
Haken; چَنگَک
- ich fühle mich wie am Haken; اِحساس می کُنَم که تَمام ِ هَستی ِ مَن سَر ِ یِک چَنگَک ِ باریک آویخته شُده
- den Haken am Kleid lösen; چِفتهاى ِ پیراهَن را باز کَردَن
- (Abschlepp-) Seil am Haken (vom Auto) festmachen; سیم را به ماشین قُلاب کَردَن
- Haken & ösen; قَزَن قُفلى
Hakenkreuz; صَلیب ِ شِکَسته
halb; نِصف، نیمی
halbautomatisch; نیمه خودکار
halbfertig; نیمه کاره
- eine Sache halbfertig stehenlassen;  دَست کِسى را تو حَنا گُذاشتَن
halbherzig;
- ein halbherziger Freund; رَفیق ِ نیمه راه
halbieren; دو نیم کَردَن، نِصف ک
- das Schwein halbieren; خوک را شَقه کَردَن
Halbierungslinie; خَط ِ نیمساز
Halbinsel; شَبه جَزیره
- arabische Halbinsel; شِبه جَزیرهٔ عَرَبِستان
Halbkreis; نیم دایِره
