ich; مَن، بَنده، اینجانب
- selbstherrliches Ich; نَفس ِ اَماره
- mein inneres Ich; ضَمیر ِ خود، خودى ِ خود، نَفس ِ خود
Ichsucht; خود خواهی
Ideal; آرمان، ایدِه ال
- Glaube an Ideale; ایمان به آرمان
- idealer Mensch; آدَم ِ ایدهِ آلى
- idealer, nicht erreichbarer Ort; جاى ِ فاضِله
- idealer Typ; نِمونهٔ عالى
Idealismus; آرمان باوَرى، اِنگار آئینى، ایدِآلیسم
Idee; اَنگاره، پِندار، صورَت ِ ذِهنى، مِثال، پِنداشت، اَندیشه، زیوَر ذِهن
- eine gute Idee; فِکر ِ خوبى است
- auf die Idee kommen; به مَغز خُطور کَردَن
- hochfliegende Ideen; مَعالى
Ideenaustausch; تَبادُل ِ نَظَر، ـ اَفکار
Identifikation; تَشخیص، شِناسائى، هَمذات پَذیری
identifizieren; کِسى را تَشخیص دادَن
- s. total identifizieren mit ...; بِعُنوان ِ يِک ... از تَمام ِ وُجود مایه مى گُذارَد
- er identifiziert s. mit ...; او خودرا با ... بَرابَر مى بینَد، ـ هَماهَنگ مى کُنَد
identisch; يِکسان، هَمانَست، هَم ماهيَت، شَبیه
- der 21.März ist identisch mit dem 1. Farwardin; روز ِ ۲۱ ماه ِ مارس مُصادِف است با اَوَل ِ فَروَردین
- er ist mit x völlig identisch; او با ... حتی مو نِمی زَنَد
Identität; هُويَت، هَمانى
Identitätskrise; بُحران ِ هُويَت
Ideologie; ایدئِولژى، مَسلَک، مَرام
Idiom; اِصطِلاح
- idiomatischer Ausdruck; اِصطِلاح
Idiotie; بیمارى ِ مَغز، حِماقَت
Idol; بُت
Igel; خارپُشت
- sie igeln s. total ein; آنها کامِلاً دَر لاک ِ خود فُرو می رَوَند
Iglu; خانهٔ يَخى
Ignoranz; بى اِعتِنائى
ignorieren; اَباء کَردَن از چیزى، نادیده گِرِفتَن
- ignorieren der ...; بى اِعتِنائى به، صَرف ِ نَظَر کَردَن ِ
ihm; به او
- das gehört ihm (auch: ihr); این مال ِ اوست، به او تَعلُق دارَد، این مُختَص به اوست
ihnen; آنها، ایشان
- Ihnen (bei Anrede); شُما
Ikone; شَمايِل
Ikonographie; شَمايِل کِشى، صورَت نِگارى
illegal; غِیر ِ قانونى، نامَشروع، خَلاف ِ قانون
- ein illegal gebautes Haus; خانه اى که یواشَکى ساخته شُده
Illegalität; عَدَم ِ قانونيَت
illegitim; غِیر ِ قانونی، بِدون ِ اِجازه
Illumination; چِراغبانى
Illusion; (pl.) خیال ِ فام، وَهم (اوهام)، تَوَهُم (توهَمات)، وَحمه
illusionär; غِیر ِ واقِعى، خیالى
Illusionist; مُشَعبِد، خیال باف
illustrieren; مُصَوَر کَردَن
- illustriert, dargestellt; مُصَوَر شُده
Illustrierte; مَجَلهٔ مُصَوَر
im;
- im Schweisse deines Angesichtes; به عَرَق ِ پیشانى اَت
- im Verlauf der ...; دَر طِى ِ..، دَر پِى ِ
- im Auto; دَر ماشین، داخِل ِ ماشین
Imbissbude; کَبابخانه
Imitation; جَعَل
imitieren (jem. -); اَدا کَردَن
imitiert;
