Jacke; کُت
- das ist Jacke wie Hose; چه خواجهٔ عَلى چه عَلى خواجه
- Kombinationsjacke; کُت ِ شَلوار
Jackett; جاکِت، ژاکِت
Jade; يَشم ِ سَبز
Jagd; شِکار
Jagdflugzeug; هواپیماى ِ شِکارى
Jagdhund; سَگ ِ شِکارى، یوز
Jagdrevier; صِیدگاه، شِکار گاه
Jagdschein; جَواز ِ شِکار
jagen; شِکار کَردَن، تازانیدَن، شِکاریدَن
- er lernte zu jagen; او شِکار کَردَن را آموخت
- hinterherjagen; تاختَن، تَعقیب کَردَن
- in die Flucht jagen; مُنهَزِم کَردَن
- jem. in die ... jagen; کِسى را به جائى واصِل کَردَن
Jahr; سال
- ein gutes Neues Jahr; سال ِ نوین فَرخَنده باد، سال ِ نو ِ مُبارَک
- im Jahre 1994; دَر سَنهٔ ۱۹۹۴، دَر سال ِ ـ
- Peter, 14 Jahre alt; پیتِر، ۱۴ ساله
- er ist 30 Jahre alt; او ۳۰ سال سِن دارَد، ۳۰ سالِشه
- ... die 10 Jahre alt war; که دَه سال سِن داشت
- sie war noch keine 30 Jahre alt; سالهاى ِ عُمرِش از سى نَگُذَشته بود
- ich heiße Fritz und bin 21 Jahre alt; مَن فریتس بیست و يِک سال سِن دارَم
- du wirkst nicht wie 15 Jahre; (umg.) بِهتون نِمیخوره که پانزدَه سالِتون باشه
- in den 70er Jahren; دَر سالهاى ِ دَههٔ هَفتاد
- im 50. Lebensjahr; دَر ۵۰ سالِگى
- ... ist für die nächsten 100 Jahre genug (alleg.); بَرای ِ هَفت پُشت ِ مَن کافی است...
Jahrbuch; کِتاب ِ آمار
- statistisches Jahrbuch; کِتاب ِ آمار ِ سالانه
jahrelang; سالهاى ِ سال، ـ مُتَمادى
Jahreseinkommen; عايِدات ِ سالى
Jahrestag; سال گَرد، بُزُرگ داشت
Jahresversammlung; اِجلاس ِ سالانه
Jahreswechsel; تَحویل ِ سال
Jahreszahl;
- wir wissen nicht die Jahreszahl von ...; ما سَنَوات ِ ... را نِمى دانیم
Jahreszeit; (pl.) (فَصل (فُصول
- die 4 Jahreszeiten; فُصول ِ اَربَعهِ
- der Wechsel der Jahreszeiten; گَردِش ِ مُنَظَم ِ فُصول
Jahrgang;
- er ist Jahrgang ...; او دَر سال ِ ... به دُنیا آمَد، او مُتَوَلِد ِ سال ِ ... است
Jahrhundert; (pl.) (قَرن (قُرون
- aus einem jahrhundertelangem Schlaf erwachen; از خواب ِ قُرون بیدار شُدَن
jährig;
- ein 50 - jähriger; مَرد ِ ۵۰ ساله
- mein langjähriger Freund; دوست ِ چَندین چَند ساله ام
Jahrtausend; دورۀ هِزاره
- im 3. Jahrtausend; دَر هِزارهٔ سِوُم
