Kaaba; کَعبه
Kabarett; کاباره
Kabel; کابِل، سیم
- Kabel legen; سیم کِشى کَردَن
Kabine;
- Kabine (Zug, u.ä.); کابین
- Wahlkabine; اُطاقَک ِ اِنتِخابات
Kabinett;
- Scheinkabinett; کابینهٔ پوشالى
Kabriolett; ماشینى که سَقفَش باز است
Kachel; کاشی
Kacke; عَن
Kadaver; لاش، لاشه
Kadavergehorsam; اِطاعَت بِدون ِ چون و چِرا
Kader; کادِر، رَسته، هِیئَت
Käfer; سوسَک
Kaffee; قَهوه
- Kaffee kochen; قََهوه دُرُست کَردَن
- Milchkaffee; شیر قَهوه
Kaffeekocher; قَهوه جوش
Kaffeemühle; آسیاب ِ قَهوه
Kaffeesatz; - دُرد ِ قَهوه، طُفالهٔ
Käfig; قَفَس
kahl; بِرَهنه، لُخت
- kahle Felsen; صَخره هاى ِ بِرَهنه
kahlfressen; لُخت کَردَن
Kahlkopf; طاسى، کَچَل
Kai; بار اَنداز
Kaimauer; دیوار دَریا
Kain; قابیل
- Kain & Abel; قابیل و هابیل
Kainszeichen; لَکهٔ نَنگ بَر پیشانى
Kairo; قاهِره
Kaiser; قِیصَر، اِمپِراطور
Kaiserin; شَهبانو، مَلِکه
Kaiserschnitt; سِزارین
Kakao; کاکائو
Kakerlak; سوسَک ِ آشپَزخانه
Kaktus; کاکتوس
Kalb; گوساله
Kaleidoskop; گُلنَما
Kalender; تَقویم
Kali; پُتاس
Kaliber;
- Kaliber (einer Waffe); گُلوله خور
- er ist von schwerem Kaliber; او از آدَمهای ِ گَردَن کُلُفت است
Kalif; خَلیفه
Kalifat; قُدرَت ِ حکومَت ِ خَلیفه
Kalium; پُتاسیم
Kalk; آهَک
- gelöschter Kalk; دوغاب ِ آهَک، آهَک ِ مُرده
kalkhaltig; آهَک دار
- das Wasser ist kalkhaltig; آب آهَک دار است
Kalkül;
- ins Kalkül einbeziehen; روى ِ چیزى حِساب کَردَن
Kalkulation; تَخمین ِ مَخارِج، بَرآوَرد
kalkulieren; تَخمین ِ مَخارِج زَدَن
- die Kosten einschliesslich Essen werden kalkuliert in Höhe von ..; هَزینهٔ ... بَراى ِ خورد و خوراک حِساب میشَوَد
Kalligraphie; خوش نِویسی، خَطاطی
Kalorie; کالُرى
kalt; سَرد
- mir ist kalt; سَردَم است
- sein Glaube ist kalt geworden; ایمانَش سُستى گِرِفت، ـ سُست شُد
Kaltblütigkeit; خونَسردى
- Kaltblütigkeit, Herzlosigkeit; بی رَحمی
Kälte; بُرودَت، سَرما، سَردى
- jem. mit Kälte begegnen; زَمهَریر به جان ِ کِسى اَنداختَن
- Kälte abkriegen; سوز خوردَن
- seine Wangen sind steif vor Kälte; گونه هايَش از سَرما يَخ بَست
- eine Mauer der Kälte zwischen den Menschen; دیوار ِ زَمهَریرى بِین ِ اِنسانها
kaltherzig; بى رَحمَت، بى عاطِفه
kaltstellen (jem. -); کِسى را کِنار گُذاشتَن، از مِیدان ِ فَعاليَت خارِج کَردَن
- das Essen kaltstellen; غَذارا خُنَک کَردَن
Kalzium; کَلسيُم
Kambrium; کامبرین
Kamel; شُتُر
Kamera; دور بین ِ عَکاسی
Kamerad; دوست، رَفیق
- ohne Kamerad; لااِنسان، لاشَریک
- Schulkameraden; بَر و بَچه هاى ِ مَدرِسه
Kameradschaft; دوستى، رِفاقَت
Kameramann; فیلم بَردار
Kamille; بابونه
Kamm; شانه
- Hahnenkamm; کاکُل
kämmen; شانه کَردَن
Kammer; اُطاق، حُجره
- Ärztekammer; اُتاق ِ پِزِشکان
Kampagne; کَمپِین
- eine Kampagne führen; مُبارِزه کَردَن
- Verleumdungskampagne; حَملهٔ اِفتِرا آمیز
Kampf; مُقاتَله، مُبارِزه، نَبَرد
- Kampf um Leben und Tod; مُبارِزهٔ حَیاتى و مَماتى
- s. miteinander im Kampf befinden; دَر تَحارُب قَرار گِرِفتَن
- Existenzkampf; کِشاکِش  ِدَهر، تَنازُع ِ بَقاء
- Wettkampf; مُسابِقه، مَصاف
Kampfansage; مُبارِزه طَلَبى
Kampfarena; مُعَرکه
kämpfen; مُبارِزه کَردَن
kämpfend; مُقاتِل، مُحارِب
Kampfer; کافور
Kämpfer; مُبارِز
- Spezialkämpfer (milit.); تَکاوَر
kämpferisch; جَنگ جو، رَزم جو
- kämpferischer Geist; حال ِ حَمله اى، روح ِ پِیکار جو
Kampfflugzeug; هَواپِیماى ِ شِکارى، ـ جَنگَنده
Kampfgebiet; مَنطَقهٔ نَبَرد
Kampfhandlungen; نَبَرد، عَمَلیات ِ رَزمى، ـ نِظامى
Kampfmoral; روحیهٔ رَزمى
Kampfsport; وَرزِش  ِ رَزمى
Kampftruppen; عِدِه هاى ِ رَزمى
Kanal; نَهر، کانال
Kanalarbeiter; مُقَنى
Kanalisation; فاضِل آب کِشی
Kanarienvogel; قَنارى
Kandare; مَهار، اَفسار، لِگام
- jem. an die Kandare nehmen; کِسى را دَر چیلان اَنداختَن
Kandelaber; قِندیل
Kandidat; نامزَد، داوطَلَب، کاندیدا
- Oppositionskandidat; نامزَد ِ اَقَليَت
Kandidatur; نامزَدى، کاندیداتوری
kandidieren; نامزَد شُدَن، کاندیده کَردَن
Kandiszucker; نَبات
Känguruh; کانگورو
Kaninchen; خَرگوش
Kanister; پیت
Kanne; قوری
- Kaffeekanne; قورى بَراى ِ قَهوه
Kannibale; آدَم خوار
Kanone; توپ
- er war eine Kanone; او آتَش پاره بود
Kanonenbeschuss; توپزَنى
Kanonenbootpolitik; سیاسَت ِ اِرعاب
Kanonenfutter; قُربانى توپ
Kante; لَبه، کِناره
- Kante des Bügersteigs; جَدوَل ِ خیابان
- etwas auf die Kante legen; پَس اَنداز کَردَن
- s. auf die Bettkante setzen; بَر لَبهٔ تَخت نِشَستَن
kantig; لَبه دار
Kantine; ناهار خورى، بوفهٔ کارگاه
