Lab; خَمیر مایهٔ پَنیر
laben (s. -); لِذَت بُردَن
labern;  وِراجی کَردَن، چُس نَفَسی کَردَن
- laber nicht rum; پُر چانِگی نَکُن
Labferment; مایه پَنیر
labil; ناپایدار، ناثابِت
Labilität; ناپایداری، سُستی ِ خِصلَت
Laboratorium; آزمايِشگاه
Labyrinth; دالانهای ِ مارپیچی، گُم دَشت، راه ِ پیچ دَر پیچ، باغ ِ پُر پیچ و خَم
- Labyrinth (unterirdisch); هِزار توئی ِ زیر زَمینی
- Labyrinth (im Ohr); دِهلیز ِ گوشی
lächeln; تَبَسُم کَردَن
Lächeln (n); لَبخَند، تَبَسُم
lachen; خَندیدَن
- ich musste laut lachen; مَرا خَنده گِرِفت، خَنده اَم گِرِفت
- ich musste darüber lachen; اِحساس ِ مَسخَرِگی کَردَم
- jem. ins Angesicht lachen; به ریش ِ کِسی خَندیدَن، نیشخَند زَدَن
Lachen (n); ضِحک، ضِحکه، خَنده
- s. vor Lachen ausschütten; از خَنده روده بُر شُدَن
- s. vor Lachen biegen; از زور ِ خَنده پیچ و تاب خوردَن، روده بَر شُدَن
- in Lachen ausbrechen; زیر ِ خَنده زَدَن
- jem. zum Lachen bringen; کِسی را به خَنده آوَردَن، - به خَنده اَنداختَن
- Herr X starb fast vor Lachen; آقای ِ فِلان زَد زیر ِ خَنده
- ich gerate vor Lachen außer Atem; از خَنده نَفَسَم بَند می رَوَد
- er zeigte mir sein breites Lachen; لَبخَند ِ پَت و پَهنِش را تو صورَتَم وِل کَرد
lachend; ضِحک، ضاحِک
Lacher; صِدای ِ خَنده
lächerlich; خَنده دار
- etwas lächerlich machen; چیزی را به مَسخَره گِرِفتَن
- s. lächerlich machen; خودرا خِفَت دادَن، ـ دَست اَنداختَن
- lächerlich gemacht werden; مَسخَره شُدَن
Lachgas; گاز ِ خَنده آوَر
Lachs; ماهی ِ آزاد
Lachsalve; شِلیک ِ خَنده
Lack; لاک
- der Lack ist ab; رَنگ و رو رَفته
Lackfarbe; روغَن ِ جَلا
lackieren; لاک زَدَن
- lackiert sein; لاک خورده
lackmeiern; .کِسی را دَست اَنداختَن، - کوک کَردَن، - مَسخَره ک
- gelackmeiert; فَریب خورده
- war ich gelackmeiert; مَن صِفر شُدَم
Lackmuspapier; کاغَذ ِ تورنِسُل، ـ لیتموس
Ladefläche; کَف ِ کامیون
Ladegerät; دَستگاه ِ شارژ کُن
laden; بار زَدَن
- aufladen Batterie); شارژ کَردَن
Laden (m); مَغازه، فُروش گاه، دَکان
- der Laden brummt; بازار ِ چیزی گَرم می شَوَد، بازار خوب دایِر است
Ladenhüter; جِنس ِ بُنجُلی، بُنجُل
- Ladenhüter verkaufen; جِنس ِ بُنجُلی آب کَردَن
Ladeninhaber; دُکان دار
Ladentisch; پیش خوان
Lader;
- Frontlader; لودِر
Laderaum (bei Schiffen); تَه ِ کِشتی
Ladung;
- elektrische Ladung; بار ِ اِلِکتریکی، شارژ
- eine Ladung voll Obst; یک مَحمولهٔ میوه، یک بار ِ میوه
- Schiffsladung; بار ِ کِشتی
Lafette;
- Geschützlafette; عَرادهٔ توپدار
Lage; وَضعيَت، موقِعيَت
- ich bin in der Lage, ...; بَرای ِ این کار ساخته شُده ام، این کار از مَن بَر می آيَد
- in meiner Lage; به مَثابهٔ مَن
- sie sind in der Lage; آنها دَر موقِعيَتی هَستَند
- missliche Lage; بَد بُنه
- alles, wozu sie in der Lage war, hat sie gemacht; هَر چه از دَستَش بَر می آمَد کَرد
- jem. in eine schlimme Lage bringen; کِسی را به خاک ِ سیاه نِشاندَن
- ich bin nicht mehr in der Lage zu ....; تَوان به .... نَدارَم
- er ist dazu nicht in der Lage; از او ساخته نیست، او پاپِی ِ این نَشُد که، او جانَش را نَدارَد
- er wurde aus einer unsicheren Lage befreit; از بِلاتَکلیفی نِجات پِیدا کَرد
- seiner Lage nicht mehr Herr sein; حال و روز ِ خودرا نَفَهمیدَن
- er ist nicht in der Lage, zu heiraten (z.B. wegen Geldmangel); اِستِطاعَت ِ اِزدِواج نَدارَد
Lager; (pl.)  (اَنبار، ذَخیره (ذَخايِر
- etwas auf Lager haben; چیزی را دَر چَنته داشتَن
- sie setzten alles ein, was sie an Erfahrung auf Lager hatten; هَر آنچه دَر چَنتهٔ تَجرُبه داشتَند بیرون ریختنَد
- Eislager; مَخزَن ِ يَخ
- Kugellager; بوش، بُلبرینگ
- Pleuellager; یاتاغان ِ شاتون
- Zeltlager; اُردو
lagern; .اَنباشتَن، اَنبار کَردَن، جَمع ک
- gelagert werden; اَنباشته شُدَن
Lagerraum; پَستوی ِ دُکان، اَنبار
lahm; لَنگ
- lahm legen; کَرَخ کَردَن
- eine lahme Sache; کَسِل کُنَنده است، خَسته کُنَنده است، بی ذوق و شوق است
- das Pferd lahmt; پای ِ اَسب چُلاق است
lähmen; از کار اَنداختَن، فَلَج کَردَن
- gelähmt; اِفلیج، مَفلوج
- Querschnittsgelähmter; آسیب دیدهٔ نَخاعی
Lahmer; شَخص ِ لَنگ، چُلاق، فَلَج زَده، آدَم ِ مَفلوج
Lähmung; فَلَج
- er hat eine Lähmung; او مَفلوج است
- es gibt dort viele, die eine Lähmung haben; آنجا آدَمهای ِ مَفلوج زیادند، ـ فَلَج زَده ـ
- Lähmung der Wirtschaft; فَلَج شُدَن ِ اِقتِصاد
- Kinderlähmung; فَلَج ِ اَطفال
- Querschnittslähmung; آسیب نَخعی
Laich; ماهی زاد، ماهی ریز، تُخم ِ ماهی
laichen; تُخم ریزی کَردَن
Laie; آدَم ِ غِیر ِ حِرفه ای
Laienrichter; قاضی ِ اِفتِخاری
Laissez faire; تَنبَلی ِ هَمواره خوشايَند و طَبع نَواز
Laizismus; عُلَمانيَت
Lakai; فَراش
Laken; شَمَد
- Bettlaken; مَلافه
lakonisch; به صورَت ِ موجَز
Lakritze; رُب اُلسوس
Laktometer; شیر سَنج
Laktose; لاکتوز، قَند ِ شیر
lallen; مِن مِن کَردَن
lallend; مِن مِن کُنان
Lamelle; تیغه، دیسک، لامیل
lamentieren; وِنگ زَدَن
Lamm; بَره
Lampe; لامپ، چِراغ
- Hängelampe; قِندیل
Lampenfieber; تَرس از ظُهور روی ِ صَحنه
Land; کِشوَر، زَمین، خاک
- im Lande der Toten (poes.); دَر دَیار ِ مُردِگان
Landebahn; باند ِ فُرود گاه
landen; فُرود آمَدَن
- er kann bei ihr nicht landen; زیاد هَم چَنگی به دِلِش نِمیزَنَد
Landeoperation; عَمَلیات ِ پیاده کَردَن ِ نیرو
Länderei (pl.); (مُلک (اَملاک
Landesverrat; مَملَکَت فُروشی
- Landesverrat begehen; مَملَکَت فُروشی کَردَن
Landflucht; فَرار از روستاها
Landfriedensbruch; نَقض ِ آرامِش ِ کِشوَر
landgestützt;
- landgestützte Rakete; موشَک ِ زَمین پایه
Landhaus (*: Sommersitz, *: Winterquartier); يِیلاق
Landkarte; نَقشهٔ جُغرافیایی
Landkreis; بَخش ِ روستائی، حومه، ناحیه
ländlich; روستائی
Landmann; کَدیوَر، کِشاوَرز، دِهقان، زارِع
Landschaft; مَنظَره
- Amt für Landschaftspflege; خَدَمات ِ عُمران
Landschaftsschutz; حَراسَت ِ مَنظَره، حِفاظَت ِ مَنظَره
Landsleute; هَم مِهنانان
Landstreicher; آدَم ِ آش و لاش، آدَم ِ آسمان جُل، آواره، سَرگَردان، طائِف، وِلگَرد
Landtag; مَجلِس ِ ایالَتی
Landtiere; خاکزی ها
Landung; نِشَست
- Flugzeuglandung; نِشَست ِ هَواپِِیما
Landvermesser; مَساح، جَریب کِش
Landwirtschaft; کِشاوَرزی
lang; طولانی
- das Haus ist 10 mtr lang; خانه به دِرازی ِ ۱۰ مِتر، خانه ۱۰ مِتر طول دارَد
- lang & breit; دور و دِراز، عَریض و طَویل
- er erzählt lang & breit; او شاخ و بَرگ حَرف می زَنَد
- es ist lange her; دیری است که، دیرزَمانی ـ، مُدَتهاست که
- es ist schon lange her, dass wir nicht im ... waren;  خِیلی وَقت بود که دیگَر پايِمان نَرِسیده بود به
- lange Fasern; رِشته های ِ طَویل، ـ طولانی
- das Leben währt lange; عُمر کَفاف می کُنَد
- langer Zeitraum; مُدَت ِ مَدید، زَمان ِ دیرنَد، ـ زیاد
- wie lange bist du in Deutschland?; چَند وَقت است که دَر آلمان هَستی؟، چه مُدَت ـ
- den ganzen Tag lang; تَمام ِ طول ِ روز
- nach langer Zeit der Entbehrung; پَس از دیر زَمانی ِ مَحروميَت، بَعد از مُدَت ِ طولانی ـ
- ein langes Gewand; لِباس ِ بُلَند
- auf lange Sicht; دَر دِراز ِ مُدَت
- seit langem; از دیر باز
- jem. seit langem kennen; با کِسی آشنائی ِ دیرین داشتَن
- die seit langem gehegte Erwartung zog s. hin; اِنتِظار ِ دِراز داشت دِراز می شُد
Länge; دِرازی، دِرازا، طول
- s. in die Länge ziehen; به دِرازا کِشیدَن
- unnötig in die Länge ziehen; لِفت دادَن
- er zieht das in die Länge; او چیزی را طول می دَهَد
- der Kampf zieht s. in die Länge; جَنگ بِطول می اَنجامَد، جَنگ طول می کِشَد
Längengrad; طول ِ جُغرافیائی
Längenwachstum; نُمُو ِ طول
Langeweile; خَسته کُنَندِگی، کِسالَت، يِکنَواختی
- Langeweile erzeugen; مَلالَت فَراهَم آوَردَن
Langfinger; دَله دُزد
langfristig; طَویل اُلمُدَت، دوراَندیش، بُلَند مُدَت
- langfristige Anleihe; سَنَد ِ قَرضهٔ مُدَت دار
- langfristige Planung; بَرنامه ریزی ِ بُلَند مُدَت، ـ دِراز مُدَت
- langfristiger Kontakt; تَماس ِ مُستَمِر
- langfristige, ständige Arbeit; کار ِ مُستَمِر
- seine Anstellung ist langfristig; پایهٔ اِستِحکام او اُستُوار است
langgezogen;
- langgezogenes Gurren; غُرغُرهٔ کِشدار
langjährig; طَویل اُلمُدَت، طولانی
- mein langjähriger Freund; دوست ِ چَندین چَند ساله ام
Langlauf; دُو ِ اِستِقامَت
länglich; مُستَطیل، دِراز
langmachen (s. -); دِراز کِشیدَن
langmütig; بُرد بار، شَکیبا
langsam; به کُندی، آهِسته، يَواش، کُند
- langsam werden; از جُنب و جوش اُفتادَن
- ganz langsam wird er wach; به کُندی بیدار می شَوَد
Langsamkeit; بَطائَت
Längsschnitt; مَقطَع ِ طولی
langweilen (s. -);  .ضَجور بودَن، کَسِل شُدَن، خَسته ش
- langweilig sein;  .مَلول بودَن، خَسته کُنَنده ب
- langweiliges Leben; زِندِگی ِ کَسِل کُنَنده، ـ مَلال آوَر
- uns ist langweilig; از هَمه چیز مَلولیم، ـ خَسته ایم
Langweiler; اَلدَنگ
langwierig;
- langwierige Debatte; مُباحِثهٔ وَقت گیر، ـ طَویل اُلمُدَت
- langwieriger Versuch; تَلاش ِ مُستَمَر
Langzeitplanung; بَرنامه ریزی ِ دِراز مُدَت
Langzeitprogramm; بَرنامهٔ بُلَند مُدَت
Lanze; مِزراق
- für jem. eine Lanze brechen; به کُمَک ِ کِسی شِتافتَن
lapidar; پیش ِ پا اُفتاده
- lapidare Erklärung; بَیان ِ موجِز
Lappalie; لاشِیء، هیچ و پوچ
Lappen;
- Dicker Lappen (grosser Geldschein); اِسکِناس ِ دُرُشت
- Abwaschlappen; کُهنه، دَستمال ِ نِظافَت
- Küchenlappen; لَته
- Staublappen; پارچهٔ گَرد گیری
- Waschlappen; دَستمال شوئی
läppisch; کَم مایه
- läppischer Mensch; آدَم ِ فُرومایه
Lapsus; اِشتِباه
Lärche; صَنوبَر ِ آراسته
Lärm; سَر و صِدا، فَریاد
- in diesem Lärm; دَر این گیر و دار
- .... und inmitten des Lärms ....; و میان ِ هَمهَمهٔ شان
- fröhlicher Lärm; بِزَن و بِکوب
- Lärm schlagen; قیل و قال راه اَنداختَن، جار و جَنجال راه اَنداختَن
- Viel Lärm um nichts (popul.); با اینهَمه که می چَری کو دنبه ات؟
- Gefechtslärm; چَکاچَک
- Motorenlärm; خُروش ِ مُتُر
lärmen; با سَر و صِدا
- lärmende Stadt; شَهر ِ داد و قال
Larve;
- Larve, Maske; ماسک
- Larve (biol.); لارو، کِرم
lasch; ضَعیف
Lasche; صَفحهٔ روکِش، پُشت بَند
Laser; لیزِر
lasiert; لُعاب زَده
- lasierte Fläche; روکِش لُعاب زَده
lassen;
- ins Haus lassen; به خانه پا گُذاشتَن
- die Finger von etwas lassen!; وِلِش کُن، دَست از چیزی کِشیدَن
- das Licht brennen lassen; چِراغ را روشَن گُذاشتَن
- lassen Sie Ihr Auto zuhause; ماشینِتان را جا بِگُذارید
- s. von jem. etwas machen lassen (z.B. Anzug); بَرای ِ خود سِفارِش ِ کُت و شَلوار را دادَن
- lassen wir das und nehmen das; بی خیال ِ این چیز باشیم و آن را بِگیریم
- er hat s. einen Bart wachsen lassen; او ریش گُذاشت
- jem. etwas tun lassen; به کِسی اِجازهٔ کاررا دادَن
- ich werde dich nicht aus den Augen lassen; چِشم از تو بَر نِمی دارَم
- lass sie in Ruhe; اذيَتِشان نَکُن، وِلِشان کُن
- Lass den Blödsinn; دیگر قَرار نَبود شوخی کُنیم
- ... lässt mir keine Zeit ...; بَرايَم وَقت آزاد نِمی گُذارَد
- Tun & Lassen; حَرَکَت و سَکَنات، اَنجام و ایجاب
lässig;
- lässig macht er die Tür auf; با خونسَردی دَر را باز می کُنَد
- er hat einen lässigen Gang; شُل راه می رَوَد
- eine lässige Methode; رَوِش ِ ناکاره
Lasso; کَمَند
Last; وَبال، بار، مَحموله
- jem. die Last abnehmen; باری از دوش ِ کِسی بَرداشتَن، از مَشَقَت ِ کِسی کَم کَردَن
- jem. zur Last fallen; به کِسی تَحمیل شُدَن
- zu Lasten von; به عُهدهٔ کِسی، بَر دوش ِ ـ
- Verteidigungslasten; بار ِ دِفاعی
lasten;
- Angst, die schwer auf ihm lastet; تَرس از چیزی که بَر او سَنگینی می کُنَد
Lastenträger; باربَر، آدَم ِ بار کِش
Laster; شَهوَت
- ein Laster haben; عادَت ِ بَد داشتَن
Lästerer (Gott gegenüber); (pl.) (کافَر (کُفار
lasterhaft; فاجِر، فاسِق، جِلف
Lästermaul; بَدزَبان
lästern; به کسی کُفر گُفتَن، ـ اِهانَت کَردَن، ـ بَد گوئی کَردَن، ـ فُحش دادَن
lästig; سَمِج، مُزاحِم
- lästige Aufgabe; تَکلیف ِ شاق
