o (Vokal über Konsonant); عَلامَت ِ ضَمَه
Oase; (pl.) واحه (واحات
ob;
- ich fragte dich, ob du mitkommen willst; مَن از تو پُرسيدَم که آيا با ما مى آئى
- ob es neu oder alt ist; چه مُحدَث و چه قَديم باشَد
- so, als ob; که گوئى، اِنگار که، چِنانکه گوئى است
- so tun, als ob; بِظاهِر
- als ob er mit ihm spassen würde; اِنگار که با او شوخى مى کُنَد
- wie er so dasitzt, sieht es aus, als ob er nicht an Schlaf denke; هَمچون راحَت مى نِشينَد که اِنگار خيال ِ خواب نَدارَد
Obdach; مأوا، پَناهگاه
obdachlos; خانه بِدوش، دَر بِدَر، آواره
Obdachloser; خانه بِدوش، دَر بِدَر، آواره
Obduktion; کالبُد شِکافى، ـ گُشائى
obduzieren; کالبُد شِکافى کَردَن
Obelisk; تِمثال
oben;
- oben erwähnt; فوق اُلذِکر، فوق اُلاِشعار، مَزبور
- von oben bis unten schmutzig sein; سَر ا پا کَثيف بودَن
- von hier oben alles sehen; از اين بالا هَمه چيزرا ديدَن
- den oberen Teil der Strasse bewachen (*: oberst);  بالادَست ِ خيابان را پائيدَن
- das Oben & Unten; فَراز و فُرود
Ober; گارسُن
Oberarzt; سَرپِزِشک
Oberbürgermeister; شَهر دار ِ کُل
Oberfläche; (pl.) سَطح (سُطوح)، رويه
Oberflächenspannung; کِشِش ِ سَطحى ِ مايِعات
oberflächlich; سَطحى
- oberflächlich reden; از رو ِ مِعده حَرف زَدَن
Obergemach; بالاخانه، طَبَقۀ فوقانى
oberhalb;
- oberhalb des Hemdes; بَر زَبر ِ پيراهَن، بالاى ِ ـ
Oberhand;
- Oberhand gewinnen; غَلَبه يافتن، چَربيدَن
- über jem. die Oberhand gewinnen; (deklin.) به کِسى چَربيدَن (مى چَربَند
- das hat über ... die Oberhand; اين به آن مي چَربيد
Oberhaupt; (pl.)  (رَئيس (رُؤَساء
Oberhaus (polit.); مَجلِس ِ اَعيان
oberirdisch;
- oberirdische Leitung; خَط ِ هَوائى، ـ رو زَمينى
Oberkommandierender; فَرمانده ِ کُل ِ قُوا
Oberkörper; بالاتَنه
Oberlauf;
- Oberlauf des Flusses; بالادَست ِ رودخانه
Oberlicht; پَنجَرة شيروانى
Oberschenkel; ران
oberst;
- oberste Instanz; مَرجَع ِ نَهائى
- den obersten Zweig (*: oben); سَربُلَندتَرين شاخه
- Oberstes Gericht; دادگاه ِ عالى
- Oberster (von etwas, z.B. Chefportier); سالار ِ دَربان، دَربان ِ باشى
Oberst (milit.); سَرهَنگ
Oberteil; بَخش ِ فوقانى
obgleich;
- obgleich, dass doch; وِلو اينکه، گو اينکه، با اينکه
- obgleich .., so; هَرچَند ... وَلى
Objekt; مَفعول
