Quader; مَکَعب ِ مُسطَتیل
quaderförmig; مَکعَب شِکل
Quaderstein; سَنگ ِ تَراشیده
Quadrant; يِک چَهارُم ِ دايِره
Quadrat; مُرَبَع، چَهارگوش
- 4 im Quadrat (mathemat.); چَهار به تَوان ِ دو
quadratisch;
- quadratisch (Fläche); شَطرَنجی، چَهاخانه، پیچازی
- quadratische Gleichung; مُعادِلهٔ دَرَجهٔ دُوُم
Quadratur;
- Quadratur des Kreises; تَربیع ِ دايِره
Quadratmeter; مِتر ِ مُرَبَع
Quadratwurzel; ریشهٔ دُوُم، جَذر
Quadratzahl; عَدَد ِ مَجذور
Quaken; قارقار
Quäken;
- das Quäken von dem Kind; وَق وَق ِ بَچه
Quaksalber; پِزِشک ِ کاذِب
Qual; زَجر، رَنج
- Qual erleiden; زَجر کِشیدَن، اَلَم دیدَن
- nach einem Leben voller Qual; بَعد از يِک عُمر ِ خون ِ دِل خوردَن
quälen; کِسى را جَفاء کَردَن، ـ اَذيَت ک.، ـ عِذاب دادَن، ـ چَزاندَن
- er wirkt gequält; آزُرده مى نَمايَد
Quälen (n); اَذيَت، آزار
Quälgeist; آدَم ِ موذى
Qualifikation; اَهليَت، صَلاحيَت، قابِليَت، لیاقَت
- berufliche Qualifikation; تَوانائى ِ حِرفه اى، کارکُشتِگى
qualifizieren (s. -) (z.B. im Sport); به حَد ِ نِصاب رِسیدَن، شَرايِط ِ ... را به جا آوَردَن
qualifiziert; مُمتاز
- qualifizierte Mehrheit; اَکثَريَت ِ صَلاحيَت دار، ـ قَریب به اِتِفاق
Qualität; فُروزه، کِیفيَت
- von guter Qualität; مَرغوب
- er ist von der Qualität, - Sorte; او از این قُماش است
- Führungsqualität; قابِليَت ِ رَهبَرى
qualitativ; کِیفى
Qualitätskontrolle; کُنتُرل ِ کِیفيَت
Qualle; فَرج اُلبَحر، عَروس ِ دَریائى
Qualm; دود
- der Qualm verschlingt alles; دود هَمه چیزهارا دَر کام ِ خود فُرو مى گیرَد
- dicker Qualm; دود و دَم
qualmen; دود زَدَن، ـ دادَن
qualvoll; جانگُراز
Quantität; کَميَت، مِقدار
quantitativ; کَمى
Quarantäne; قَرَنطینه، چلِه
Quark; لور، کَشک
- Quark (getrocknet); قَراقُروت
- Quark-Knoblauch-Speise; سیر آبه
Quartier; مَحَل
- Quartier haben; سُکونَت داشتَن
Quartz; کوارتس
quasi; نِسبَتاً، به ظاهِر
quasseln;
- er ist immer am quasseln; او شاخ و بَرگ حَرف مى زَنَد
Quaste; مَنگوله
- mit Quasten besetztes Glockenspiel; دائِرهٔ زَنگى ِ مَنگوله بَسته
Quästur; صَندوق ِ دانِشگاه
Quatsch; مُزَخرَفات، مَهمَل گوئى
- er redet Quatsch; مُزَخرَف مى گويَد، پِرت و پَلا ـ
- das ist alles Quatsch; این هَمه اَش ِ کَشکی است
quatschen; گَپ زَدَن
- über alles mögliche quatschen; از هَر دَری حَرف زَدَن
Quecksilber; جیوه، سیم آب
Quelle; چِشمه
- vertrauenswürdige Quelle; (pl.) (مَنبَع ِ مُوَثَق (مَنابِع ِ ـ
- die selbe Quelle (bei Zitat); هَمان مأخَذ
- ich verlange nach dir, so wie das Rinnsal seine Quelle sucht; تورا بِدانسان مى طَلَبَم که جویبارى سَرچِشمه اَش را
quellen; آماس کَردَن، مُتَوَرِم شُدَن، باد کَردَن
Quellenangabe; ذِکر ِ مأخَذ
quellfest; مُقاوِم دَر مُقابِل ِ تَوَرُم
Quellvermögen; قابِليَت ِ آماس
Quellwasser; آب ِ چِشمه
- klares Quellwasser; آب ِ زَلال ِ چِشمه
quengeln; ناله کَردَن
Quentchen;
- ein Quentchen Beweis; يِک فَقَرهٔ دَلیل
quer;
- Strasse verläuft quer; خیابان اُریب است
- das geht alles kreuz & quer; هَمه اش اینوَر و آنوَر است
- er stellte s. quer zur Regierung; او با دولَت سَر ِ فوز اُفتاد
Querbalken; تیر ِ اُفُقى، ـ عَرضى
Quere;
- jem. in die Quere kommen; سَد ِ راه ِ کِسى شُدَن، بَر سَر ِ راه ِ کِسى ایستادَن، دَر این راه رو دَر روى ِ هَم قَرار گِرِفتَن
Querlager; یاتاغان ِ شُعاعى، ـ رادیال
Querrippe; گیرهٔ مُتَقاطُع
Querriss; شِکَستِگى ِ عَرضى
Querschläger; کَمانه
Querschnitt; بُرِش ِ عَرضى، مُقَطَع ِ ـ
Querschnittslähmung; فَلَج دَر اَثَر ِ قَطع ِ نَخاع
Querschnittsprofil; پروفَیل ِ مُقَطَع
Querspannung; تَنِش ِ مُتَقاطِع
Querstrasse; چهار راه، خیابان ِ عَرضى
Querstrich; خَط ِ مُمَيِز
Querträger; تیر ِ عَرضى ِ مُتَقاطِع
Querverweis; آیات ِ اِرجائى، اِرجاعاتى به آیات ِ دیگَر
Quetsche; پَرچ 
quetschen; لِه دادَن
- jem. in die Ecke quetschen; کِسى را مُچاله کَردَن
Quetschung; لِه شُده، کوبیدِگى، کوفتِگى
quieken; جیغ کِشیدَن
quietschen; .توتو کَردَن، غِژ غِژ ک
Quietschen (n); صَریر
