Saal (m); سالُن
- Saal für öffentliche Versammlungen; تالار ِ اِجتِماعات
Saat (f); زَرع
- Aussaat; کِشته
Saatgut (n); بَذر
Sabbat (m); سَبت، روز ِ شَنبة يَهودى
Sabber (m); آب ِ دَهَن
sabbern; آب از لَب و لوچه راه مى اُفتَد
Säbel (m); خَنجَر
Säbelrasseln (n); نَمايش و مانُوِر ِ تَهديد آميز
Sabotage (f); خرابکارى، سابوتاژ
Saboteur (m); خَرابکار
sabotierend; تَخريبى
Sachbearbeiter (m); صَلاحيَتدار، مُتَخَصِص
Sachbeschädigung (f); خِسارت ِ مالى
Sache (f); چيز
- ernste Sache (*: Angelegenheit); اَمر ِ خَطير
- so wie die Sache aussieht; از قَرار ِ واقِع
- es steht gut um seine Sache; کَبکَش خوب مى خوانَد
- jetzt geht es zur Sache; شَمشيرها را از رو مي بَندَند
- bei der Sache sein; با حَوَس ِ جَمع چيزى کَردَن
- er ist ganz bei der Sache; او شِش دُنگ حَواسَش را جَمع مى کُنَد
- das ist nicht jedermanns Sache; اين کار ِ هَر کَس نيست
- seine Absicht tut nichts zur Sache; غَرَضَش دَر خِدمَت مُصالِح نيست
- seine Siebensachen packen; بار و بُنة خودرا بَستَن
Sachgebiet (n); رِشته، مورِد، موضوع
sachgemäss;
- sachgemäss mit etwas umgehen; دَر اين مورِد کارشِناس بودَن، ماهِرانه عَمَل کَردَن
Sachkenner (m); خِبره، کارشِناس، مُتَخصِص
sachkundig; ماهِر، مُتَخَصِص
sachlich;
- ruhig und sachlich sagte er ..; به آرامى و مَتانَت گفت
- sachliche Kritik; اِنتِقاد ِ عِينى
- sachlicher Mensch; آدَم ِ کاربُر
- sachlicher Zusammenhang; اِرتِباط ِ موضوعى
sächlich; خُنثي
Sachliteratur (f); کُتُب ِ مَرجَع
Sachschaden (m); خِسارَت ِ مادى
sachte;
- sachte sachte; جَسته جَسته، آهِسته آهِسته، يَواش يَواش
Sachverhalt (m); واقِع اَمر
- zu diesem Sachverhalt sagt er, ..; او دَر اين زَمينه مى گويَد
Sachverstand (m); خِبره، تَبَحُر، تَخَصُص، خِبرِگى، خِبرَت، کارشِناسى، کاردانى
- jem. mit Sachverstand; کاربَر
Sachverständiger (m); کارشِناس، اَهل ِ فَن، مُتَخصِص، خِبره
Sachwalter (m); وَلى اَمر
Sack (m); گونى، اَنبان، جُوال، گاله
- mit Sack & Pack geht er weg; با دار و نَدارَش وَر مى رَوَد، بَساطَش را جَمع کَرد و رَفت
Säckchen (n); چَنته
Sackgasse (f); بُن بَست
säen; (präs.) بيختَن (مى بيزَد)، کاشتَن (مى کارَد)، کِشت کَردَن، بَذر اَفشاندَن
Safe (m); گاو ِ صَندوق
Safran (m); زَعفَران
Saft (m);
- (eingedickter) Saft; رُب
- Saft (in Pflanzen); شيره
- Fruchtsaft; آب ِ ميوه
- Orangensaft; آب ِ پُرتُغال
saftig; آبدار، آباَمبو
Saftigkeit (f); طَرافَت
saftlos;
- saft- & kraftlos; سَخيف
Sage (f); اَفسانه
Säge (f); اَره
- Laubsäge; اَره موئى
Sägemehl (n); خاک ِ اَره
- frisches Sägemehl; خاک ِ اَره تازه
sägen; اَره کَردَن
sagen; (präs.)  (عَرض کَردَن، گُفتَن (مى گويَد
- nichts sagen; سُکوت کَردَن
- er sagte kein Wort; او لاکَلام حَرف نِمى زَد، او سُکوت کَرد
- s. selbst sagen; خودرا مُخاطِب قَرار دادَن
- wenn ich Ihnen sagen darf; عَرض به خِدمَت ِ شُما، خِدمَت ِ شُما عَرض مى کُنَم
- er läßt s. nichts sagen (weil er glaubt, alles zu wissen); آب بي لَجام (بي  لَگام) خوردَن، بي مُرَبي و سَرپَرَستي بار آمَدَن، خودسَر و مُطلَق ُالعَنان بودَن
- ich will dir was sagen!; جَوابَش با مَن
- du hast uns nichts zu sagen; به ما اَمر و نَهى نَکُن
- das kann man gar nicht sagen; که نَگو
- was sagen Sie dazu?; نَظَرِتان دَر اين مورِد چيست؟
- ich habe mir sagen lassen, dass ...; شِنيده ام که
- sie haben s. nichts mehr zu sagen; ديگَر چيزى نَدارَند بِهَم بِگويَند
- Sag mir mal; بِگو بِبينَم
- wie man so sagt; بِقول ِ مَعروف
- ich habs doch gesagt!; مَن که گُفتَم
- sagen, was auf dem Herzen liegt; حَرف ِ دِل ِ خودرا زَدَن
- mal dies sagen, mal das; يِک دِل چيزی گُفتَن يِک دِل چيز ِ ديگَر گُفتَن
- paß auf, was du sagst; مُواظِب ِ حَرفِ دَهَنَت باش
- du sagst ja was!; ! حَرفی می زَنی
- ich habe ihm das einige Male gesagt; چَند بار باهاش حَرفَم شُد
- wer was sagen will, behält es für sich; اَگَر ديگَر خَرف زَديم بِزَن توي ِ دَهَنِمان
- leichter gesagt, als getan; گُفتَنِش آسانتَر است از عَمَل کَردَن
- das hast du gut gesagt; گُل گُفتى
- unter uns gesagt; بِفَهمى نَفَهمى
- ehrlich gesagt; راستَش را مى گويَم
- unbeabsichtigt habe ich etwas gesagt; مَنَم از دَهَنَم دَر رَفت
- Gesagt, getan; گُفته و کَرده
- diejenigen, die das Sagen haben; آنانى که بَر سَرير ِ قُدرَت هَستَند
sagenhaft;
- sagenhafter Reichtum; ثِروَت ِ عَجيب
- sagenhaft schöner Teppich; قالى ِ عَبقَرى
sagenumwoben;
- sagenumwobener Ort; مَحَل ِ اَفسانه اى
Sägespäne (f); تَراشه چوب، خاک ـ
Sägewerk (n); کارخانه تَخته بُرى
Sahara (f); صَحرا
Sahne (f); خامه، سَر شير
- das ist allererste Sahne; اين نُمره يِک است
sahnig; خامه دار، خامه اى
Saison (f); (pl.)  (فَصل (فُصول)، موسِم (مَواسِم
- saisonale Nachfrage; تَقاضاى ِ فَصلى
Saisonarbeiter (m); کارگَر ِ مُوَقَت، ـ موسِمى، ـ فَصلى
Saite (f); (pl.)  (زِه، تار، وَتَر (اوتار
säkular; عِلمانى، ناسوتى، دُنيائى، دُنياوَرز
Säkularismus (m); عِلمانيَت، دُنياوَرزى، اِصالَت ِ اُمور ِ دُنيائى
Salamander (m); سَمَندَر
Salat (Kopf -) (m); کاهو
Salbe (f); مُرهَم
- einsalben; مَسح کَردَن
salbungsvoll;
- salbungsvolles Gerede; حَرفهاى ِ چَرب و نَرم
Salmiak (m); نَشادُر
Salmiakpastille (f); قُرص ِ نَشادُر
Salon (m); تالار، سالُن
salopp; عاميانه
Salpeter (m); شوره
Salto (m); چَرخ پَر، سالتو
salutieren; سَلام ِ نِظامى دادَن، اِحتِرام گُذاشتَن
Salve (f); شَليک ِ توپ
- Feuersalve; رَگبار ِ گُلوله
Salz (n); نَمَک
- mineralische Salze; اَملاح ِ کانى
salzen; نَمَک زَدَن
Salzen (n); تَمليح
Salzgurke (f); خيار ِ شور
salzig; شور، نَمَک دار
- salzige Erde; زَمين ِ شوره زار
Salzstange (f); چوب ِ شور
Salzstreuer (m); نَمَک پاش، نَمَک دان
Salzwiese (f); شوره زار
Sämaschine (f); دَستگاه ِ بَذراَفشانى
Same (m); بَذر، دانه
Samenerguss (m); اِحتِلام، اِنزال
Samenflüssigkeit (f); مايع ِ مَنى
Sammelband (m); مَجموعه
Sammelbegriff (m); اِسم ِ جَمع
