Saal (m); سالُن
- Saal für öffentliche Versammlungen; تالار ِ اِجتِماعات
Saat (f); زَرع
- Aussaat; کِشته
Saatgut (n); بَذر
Sabbat (m); سَبت، روز ِ شَنبهٔ يَهودى
Sabber (m); آب ِ دَهَن
sabbern; آب از لَب و لوچه راه مى اُفتَد
Säbel (m); خَنجَر
Säbelrasseln (n); نَمایش و مانُوِر ِ تَهدید آمیز
Sabotage (f); خرابکارى، سابوتاژ
Saboteur (m); خَرابکار
sabotierend; تَخریبى
Sachbearbeiter (m); صَلاحيَتدار، مُتَخَصِص
Sachbeschädigung (f); خِسارت ِ مالى
Sache (f); چیز
- ernste Sache (*: Angelegenheit); اَمر ِ خَطیر
- so wie die Sache aussieht; از قَرار ِ واقِع
- es steht gut um seine Sache; کَبکَش خوب مى خوانَد
- jetzt geht es zur Sache; شَمشیرها را از رو می بَندَند
- bei der Sache sein; با حَوَس ِ جَمع چیزى کَردَن
- er ist ganz bei der Sache; او شِش دُنگ حَواسَش را جَمع مى کُنَد
- das ist nicht jedermanns Sache; این کار ِ هَر کَس نیست
- seine Absicht tut nichts zur Sache; غَرَضَش دَر خِدمَت مُصالِح نیست
- seine Siebensachen packen; بار و بُنهٔ خودرا بَستَن
Sachgebiet (n); رِشته، مورِد، موضوع
sachgemäss;
- sachgemäss mit etwas umgehen; دَر این مورِد کارشِناس بودَن، ماهِرانه عَمَل کَردَن
Sachkenner (m); خِبره، کارشِناس، مُتَخصِص
sachkundig; ماهِر، مُتَخَصِص
sachlich;
- ruhig und sachlich sagte er ...; به آرامى و مَتانَت گُفت
- sachliche Kritik; اِنتِقاد ِ عِینى
- sachlicher Mensch; آدَم ِ کاربُر
- sachlicher Zusammenhang; اِرتِباط ِ موضوعى
sächlich;‌ ‌‌‌ ٰخُنثی
Sachliteratur (f); کُتُب ِ مَرجَع
Sachschaden (m); خِسارَت ِ مادى
sachte;
- sachte sachte; جَسته جَسته، آهِسته آهِسته، يَواش يَواش
Sachverhalt (m); واقِع اَمر
- zu diesem Sachverhalt sagt er, ...; او دَر این زَمینه مى گويَد
Sachverstand (m); خِبره، تَبَحُر، تَخَصُص، خِبرِگى، خِبرَت، کارشِناسى، کاردانى
- jem. mit Sachverstand; کاربَر
Sachverständiger (m); کارشِناس، اَهل ِ فَن، مُتَخصِص، خِبره
Sachwalter (m); وَلى اَمر
Sack (m); گونى، اَنبان، جُوال، گاله
- mit Sack & Pack geht er weg; با دار و نَدارَش وَر مى رَوَد، بَساطَش را جَمع کَرد و رَفت
Säckchen (n); چَنته
Sackgasse (f); بُن بَست
säen; (präs.) بیختَن (مى بیزَد)، کاشتَن (مى کارَد)، کِشت کَردَن، بَذر اَفشاندَن
Safe (m); گاو ِ صَندوق
Safran (m); زَعفَران
Saft (m);
- (eingedickter) Saft; رُب
- Saft (in Pflanzen); شیره
- Fruchtsaft; آب ِ میوه
- Orangensaft; آب ِ پُرتُغال
saftig; آبدار، آباَمبو
Saftigkeit (f); طَرافَت
saftlos;
- saft- & kraftlos; سَخیف
Sage (f); اَفسانه
Säge (f); اَره
- Laubsäge; اَره موئى
Sägemehl (n); خاک ِ اَره
- frisches Sägemehl; خاک ِ اَرهٔ تازه
sägen; اَره کَردَن
sagen; (präs.)  (عَرض کَردَن، گُفتَن (مى گويَد
- nichts sagen; سُکوت کَردَن
- er sagte kein Wort; او لاکَلام حَرف نِمى زَد، او سُکوت کَرد
- s. selbst sagen; خودرا مُخاطِب قَرار دادَن
- wenn ich Ihnen sagen darf; عَرض به خِدمَت ِ شُما، خِدمَت ِ شُما عَرض مى کُنَم
- er läßt s. nichts sagen (weil er glaubt, alles zu wissen); آب بی لَجام (بی  لَگام) خوردَن، بی مُرَبی و سَرپَرَستی بار آمَدَن، خودسَر و مُطلَق ُالعَنان بودَن
- ich will dir was sagen!; جَوابَش با مَن
- du hast uns nichts zu sagen; به ما اَمر و نَهى نَکُن
- das kann man gar nicht sagen; که نَگو
- was sagen Sie dazu?; نَظَرِتان دَر این مورِد چیست؟
- ich habe mir sagen lassen, dass ...; شِنیده ام که
- sie haben s. nichts mehr zu sagen; دیگَر چیزى نَدارَند بِهَم بِگويَند
- Sag mir mal; بِگو بِبینَم
- wie man so sagt; بِقول ِ مَعروف
- ich habs doch gesagt!; مَن که گُفتَم
- sagen, was auf dem Herzen liegt; حَرف ِ دِل ِ خودرا زَدَن
- mal dies sagen, mal das; يِک دِل چیزی گُفتَن يِک دِل چیز ِ دیگَر گُفتَن
- paß auf, was du sagst; مُواظِب ِ حَرف ِ دَهَنَت باش
- du sagst ja was!; ! حَرفی می زَنی
- ich habe ihm das einige Male gesagt; چَند بار باهاش حَرفَم شُد
- wer was sagen will, behält es für sich; اَگَر دیگَر خَرف زَدیم بِزَن توی ِ دَهَنِمان
- leichter gesagt, als getan; گُفتَنِش آسانتَر است از عَمَل کَردَن
- das hast du gut gesagt; گُل گُفتى
- unter uns gesagt; بِفَهمى نَفَهمى
- ehrlich gesagt; راستَش را مى گويَم
- unbeabsichtigt habe ich etwas gesagt; مَنَم از دَهَنَم دَر رَفت
- Gesagt, getan; گُفته و کَرده
- diejenigen, die das Sagen haben; آنانى که بَر سَریر ِ قُدرَت هَستَند
sagenhaft;
- sagenhafter Reichtum; ثِروَت ِ عَجیب
- sagenhaft schöner Teppich; قالى ِ عَبقَرى
sagenumwoben;
- sagenumwobener Ort; مَحَل ِ اَفسانه اى
Sägespäne (f); تَراشهٔ چوب، خاک ِ چوب
Sägewerk (n); کارخانهٔ تَخته بُرى
Sahara (f); صَحرا
Sahne (f); خامه، سَر شیر
- das ist allererste Sahne; این نُمره يِک است
sahnig; خامه دار، خامه اى
Saison (f); (pl.)  (فَصل (فُصول)، موسِم (مَواسِم
- saisonale Nachfrage; تَقاضاى ِ فَصلى
Saisonarbeiter (m); کارگَر ِ مُوَقَت، کارگَر ِ موسِمى، کارگَر ِ فَصلى
Saite (f); (pl.)  (زِه، تار، وَتَر (اوتار
säkular; عِلمانى، ناسوتى، دُنیائى، دُنیاوَرز
Säkularismus (m); عِلمانيَت، دُنیاوَرزى، اِصالَت ِ اُمور ِ دُنیائى
Salamander (m); سَمَندَر
Salat (Kopf -) (m); کاهو
Salbe (f); مُرهَم
- einsalben; مَسح کَردَن
salbungsvoll;
- salbungsvolles Gerede; حَرفهاى ِ چَرب و نَرم
Salmiak (m); نَشادُر
Salmiakpastille (f); قُرص ِ نَشادُر
Salon (m); تالار، سالُن
salopp; عامیانه
Salpeter (m); شوره
Salto (m); چَرخ پَر، سالتو
salutieren; سَلام ِ نِظامى دادَن، اِحتِرام گُذاشتَن
Salve (f); شَلیک ِ توپ
- Feuersalve; رَگبار ِ گُلوله
Salz (n); نَمَک
- mineralische Salze; اَملاح ِ کانى
- wehe wenn das Salz faul wird; هَر چه بِگَندَد نَمَکَش ميزَنَند وای به روزی که بِگَندَد نَمَک
salzen; نَمَک زَدَن
Salzen (n); تَملیح
Salzgurke (f); خیار ِ شور
salzig; شور، نَمَک دار
- salzige Erde; زَمین ِ شوره زار
Salzstange (f); چوب ِ شور
Salzstreuer (m); نَمَک پاش، نَمَک دان
Salzwiese (f); شوره زار
Sämaschine (f); دَستگاه ِ بَذراَفشانى
Same (m); بَذر، دانه
