Tabak; توتون
- Tabak kauen; تَنباکو جویدَن
Tabakwaren; دُخانیات
Tabelle; رَسته، جَدوَل، لیست، چارت
- tabellarische Darstellung; جَدوَل بَندى
Tablett; سینى
Tablette; قُرص
tabu; قَدِغَن
tabuisieren; .مَنع کردن، مَمنوع ک.، تَحریم ک.، قَدِغَن ک
Tabulator; جَدوَل بَند
Tabulatortaste; کِلید ِ جَهِِش
Tachometer; سُرعَت سَنج
Tadel; تَقبیح، مَذَمَت، مَلامَت، عِتاب، نِکوهِش، مؤاخَذه، سَر زَنِش
tadeln; مَذَمَت کَردَن، سَر زَنِش ک.، مَلامَت ک.، نِکوهیدَن
Tafel;
- Anzeigetafel; تابلو
- Schiefertafel; (pl.) لوحه، لوح (اَلواح)، تَخته
- Leuchttafel mit Schrift; نَوار با لامپهاى ِ نُقطه چین
Täfelung; روکوب، روکِش
- Wandtäfelung; روکوب ِ اُطاق
Tag; روز
- Guten Tag (als Gruss); روز بِخِیر، سَلام
- an den Tag kommen; بُروز کَردَن
- etwas an den Tag legen; چیزى به خَرج دادَن
- zu Tage treten; مَکشوف شُدَن
- den nächsten Tag; روز ِ بَعد
- übernächster Tag; - ِ پَس ِ آن فَردا، پَسان
- "Schwarzer Tag"; سيَه روز، بَخت بَر گَشته، تیره روز، سیاه بَخت
- seit einigen Tagen; چَند روز است که، چَند صَباحى ـ
- er ging den ganzen Tag; او تَمام ِ روز راه رَفت
- seine Kleidung aus längst vergangenen Tagen; لِباسی که یادگِار ِ روزهای ِ دَریانَوَردی اَش بود
- 3 Tage & 3 Nächte; سه شَبانه روز
- 3-tägige Reise; سَفَر ِ سه روزه
- auf den St. Nimmerleinstag warten; سالها می گذَره تا شَنبه به نوروز بیُفته
Tagebau; اِستِخراج ِ مُعادِن دَر سَطح ِ زَمین، مُعادِن ِ سَطحی
Tagebuch; دَفتَرچهٔ خاطِرات ِ روزانه
Tagedieb; روز خُسب
Tagelohn; روزمُزد، مُزد ِ روزانه
Tagesanbruch; سَحَرگاهان، بامداد
