Vabanquespiel; ماجِرا
Vagabund; سَر گَشتهٔ غافِل، هَرزه گَرد، لات و پات
vagabundieren;  .سَر گَشتَن، وِل گ
Vagabundieren (n); هَرزه گَردى، وِل گَردى، دَر بِدَرى
vage;
- ich hatte so ein vages Gefühl der ...; به نَحو ِ گُنگی اِحساس ِ ... می کَردَم
Vagina; (pl.) فَرج، غِلاف، مَهبَل (مَهابِل)، نیام
Vakuum; خَلاء
Vakuumpumpe; تُلُمبهٔ تَخلیهٔ هَوا
Valenz; ظَرفيَت
Valuta; (pl.)  (سِعِر (اَسعار
Vanille; وانیل
variabel; مُتَغَيِر
- variables Kapital; سَرمایهٔ مُتَغَیر
Variable; مُتَغَيِر
Variante;
- eine Variante der ...; ِ از فُروع
Variation; تَغییر
Vasall; رَعيَت، دَست نِشانده
Vase; گُلدان
Vaseline; وازِلین
vaskulös; آوَندى
Vater; (pl.)  (پِدَر، والِد، اَب (آباء
Vaterland; (pl.) میهَن، وَطَن، مُوَطَن (مَواطِن)، سَرزَمین ِ اَجدادى، زاد و بوم
väterlich; پِدَرانه
- väterliche Liebe; مُحَبَت ِ پِدَرانه
väterlicherseits; از طَرَف ِ پِدَر
- Bruder väterlicherseits; بَرادَر ِ پِدَرى
vaterlos; بى باب
Vaterschaft; اُبُوَت، پِدَرى
Vatikan; واتیکان
Vegetarier; گیاه خوار
vegetarisch; به طَریق ِ گیاهخوارِگى
Vegetation; نَشو و نَماى ِ نَباتى، رَوِش ِ گیاهى، گیاهان
vegetativ;
- vegetatives Nervensystem; دَستگاه ِ عَصَبى ِ غِیر ِ اِرادى
- vegetative Vermehrung; تَکثير ِ لايَتَناسُل
Veilchen; بَنَفشه
Vektor; بُردار
Vene; (pl.)  (سیاه رَگ، عِرق (عُروق
Ventil; سوپاپ
- Auslassventil; دَریچهٔ خُروج
- Sicherheitsventil; دَریچهٔ خود گُشا، ـ اِطمینان
Ventilation; تَهویه
Ventilator; پَنکه، بادبِزَن
ventilieren;
- eine Frage ventilieren; سئوالى را مَطرَح کَردَن
Venus;  ناهید، زُهره
Venushügel; زُهار
verabreden (s. -); با کِسى قَرار گُذاشتَن
- ich bin verabredet mit ...; مَن با ... قَرار دارَم
- ich habe mich mit ihm verabredet; مَن با او قَرار ِ دیدار دارَم
Verabredung; قَرار ِ مُلاقات
- eine Verabredung haben zum Mittagessen mit ...; با ... قَرار ِ ناهار داشتَن
- ich muss zu meiner Verabredung; مَن بايَد به قَرارَم بِرِسَم
verabschieden;
- s. verabschieden (*: Abschied); مُرَخَص کَردَن
- Haushaltsplan verabschieden; بَرنامهٔ بودجه را تَصویب کَردَن
