Waage; تَرازو
- Dezimalwaage; قَپان ِ فَرَنگ
- Federwaage; قَپان ِ فَنَرى
Waagebalken; شاهين ِ تَرازو
waagerecht; اُفُقى
- waagerechte Ebene; سَطح ِ اُفُقى
Waagschale; خانة تَرازو، کَف ِـ
wabbelig; خِپِل
Wabe; شان
- Honigwabe; شان ِ عَسَل
wach; بيدار
- nachdem .. wach werden; بَعد از .. مُتَبَنه شُدَن
- der Mensch, der wach geworden ist; آدَم از خواب ِ غِفلَت بيدار شُده، آدَم ِ با بَصيرَت شُده
- jem., der wach ist; هوشيار
- ganz langsam wird er wach; به کُندي بيدار مي شَوَد
- halbwach; يِک چِشم خواب يِک چِشم بيدار
Wachbüro; اِدارة اِنتِظامات
Wache; کِشيک، قَراوُل
- Wache schieben; کِشيک کِشيدَن، ـ دادَن
- sie stehen neben dem Tor Wache; آنها دَم ِ دَروازه کِشيک مى دَهَند
wachen; نِگَهبانى دادَن، ديده بانى کَردَن
- über einer Sache wachen; حِساب ِ چيزی را داشتَن
Wachhäuschen; کِشيک خانه
Wacholder; سَرو ِ کوهى
Wachposten; پاس گاه
Wachs; واکس، موم
wachsam; هوشيار، هُشيار
- wachsam sein; هوشيار بودَن
- wachsame Augen; چِشمان ِ هُشيار
Wachsamkeit; هُشيارى
wachsen; رُشد کَردَن
- wachsen (Pflanzen); (präs.: - ruiad)  (رُستن، روئيدَن (مى رويَد
- wachsen lassen; رويانيدَن
- wachsendes Vertrauen; اِعتِقاد ِ فُزون
- ständig wachsende Bedrohung; تَهديد ِ دائِم اُلتَزايُد، تَهديد ِ روز اَفزون
- einwachsen;  .موم زَدَن، واکس ز
Wachsen (n); رويِش، رُشد
Wachstropfen; اَشک ِ شَمع
Wachstube; اُتاق ِ نِگَهبانى
Wachstuch; مُشَمَع، مَشماع
Wachstum; فَزايِش، اَفزايِش، رُشد
- zum Wachstum verhelfen; چيزى را رُشد دادَن
Wachstumsrate; نِرخ ِ رُشد
Wachtel; سَلوا، بِلدِرچين
Wachtelweibchen; کَرَک
Wächter; کِشيکچى، پاسدار، پاسبان، ديده بان
Wachtturm; بُرجَک، ديده بان
wackelig; لَق
- wackelige Meinung; نَظَرات ِ تَق و لَق
Wackelkandidat;
- er ist ein Wackelkanditat (er ist nicht vertrauenswürdig); چانه اش لَق است
Wackelkontakt; کُنتاکت ِ مَعيوب، اِتِصالي
wackeln; تَکان دادَن
- der Zahn wackelt; دَندان لَق است
- wacklige Schrift; خَط ِ خَرچَنگ ِ قورباغه
- wackle nicht so!; لَق نَدَهى
- wackle nicht mit deinem Kopf hin und her; کَله اَت را نَخَنَبان
Wackelpudding; لَرزانَک
wacker; شُجاع
- halte dich wacker; شُجاع باش، دُرُست سُلوک کُن
Waffe; سَلاح، اَسلَحه
Waffenhändler; دَلال ِ اَسلَحه
Waffenstillstand; مُتارِکة جَنگ، آتَش بَس
wagen; ريسک کَردَن
- wie kannst du es wagen?; چِطور جُرئَت مى کُنى؟
Wagen (m); اُتومُبيل، گارى
- Handwagen; يِک گارى ِ دُستى
- (Sternbild des) Grosser Wagen (kleiner -);  (دُب ِ اَکبَر، هَفت اورَنگ (دُب ِ اَصغَر
Wagenheber; جَک
Wagenwaschanlage; تَجهيزات ِ شُستِشوى ِ ماشين
Waggon; واگُن
- Güterwaggon; واگُن ِ بارى
waghalsig; جان باز، بى باک
Wagnis; ماجِرا
Wahl; اِنتِخاب، اِنتِخابات، رأى گيرى
- Wahl (beim Telefonieren); نُمره گيرى، شُماره گيرى
- ich habe keine Wahl; چاره اى نَدارَم
- Stichwahl; اِنتِخاب ِ نَهائى
Wählbarkeit; صَلاحيَت ِ اِنتِخاب شُدَن
wahlberechtigt; واجِد ِ حَق ِ اِنتِخاب، داراى ِ حَق ِ اِنتِخاب
Wahlberechtigung; حَق ِ اِنتِخاب
Wahlbestechung; اَخذ ِ رأى با رِشوه
Wahlbezirk; حوزة اِنتِخابيه
wählen;
- wählen (z.B. Parlament); رأى دادَن، اِنتِخاب کَردَن
- wählen (einer Telefonnummer); شُماره را گِرِفتَن، شُماره گيرى کَردَن
- er wählt eine Nummer nach der anderen; تَک تَک شُمارة تِلِفُنهارا مى گيرَد
- als ich gewählt wurde; وَقتي رأي آوَردَم
- gewähltes Parlament; مَجلِس ِ مُنتَخِب
Wähler (Pluralform); رأى دَهَندِگان، مُنتَخِبين، اِنتِخاب کُنَندِگان
Wahlergebnis; نَتيجة اِنتِخابات
wählerisch; نُنُر، مُشکِل پَسَند
Wählerliste; فِهرِست ِ رأى دَهَندِگان
Wahlfach; رِشتة اِنتِخابى، ـ اِفتِخارى
Wahlfälschung; رأى ِ جَعلى، ـ قُلابى
Wahlgang; رأي گيري
- erster Wahlgang; دور ِ اَوَل ِ رأى گيرى
- am Tag des Wahlgangs; از روز ِ اَخذ ِ رأى
Wahlgeschenk; تَطميع ِ اِنتِخاباتى
Wahlkabine; اُطاقَک ِ اِنتِخابات
Wahlkampagne; مُبارِزه قَبل از اِنتِخابات، مُبارِزۀ اِنتِخاباتى
Wahlkreis; قَلَمروى ِ اِنتِخاباتى، ناحية ـ
Wahllokal; مَحَل ِ اَخذ ِ رأى، مَحَل ِ رأى گيرى
wahllos; سَر سَرى
Wählscheibe; صَفحة نُمره گير ِ تِلِفُن
Wahlsendung; سُخَن ِ پَراکَنى ِ اِنتِخاباتى
Wahlurne; صَندوق ِ رأى
Wahlvorgang; فَرايَند ِ اِنتِخابات
Wählzeichen; بوق ِ آزاد
Wahlzettel; وَرَقة رأى
Wahnsinn; ديوانِگى، جُنون
- diese Aussage reizte sie zum Wahnsinn; اين سُخَنان آنهارا از فَرط ِ غَضَب بِمَرحَلة جُنون نَزديک کََرد
wahnwitzig; جُنون آميز، ديوانه
wahr; راست، واقِعى، حَقيقى، دُرُست، بِراستی
- nicht wahr?; هان؟، مَگِه نَه؟
- wahre Gründe; دَلايِل ِ واقِعى
- irgendwas ist schon wahr daran; که بايَد زير ِ کاسة نيم کاسه اى باشَد
wahren; حِفظ کَردَن
- Interessen wahren (*: gewahrt); مُصالح را حِفظ کَردَن
- das muss gewahrt bleiben; اين بايَد مَحفوظ باشَد
währen;
- so lange währen (*: dauern); به دِرازا کِشيدَن
- Begeisterung währt nur einen Augenblick; لِذَت لَحظه اى بيش نيست
- lange während; مُتَمادى
während;
- während (er sich ..); دَر حين ِ، دَر حالى ِ که، حال آنکه
- vor, während und nach ..; با عَمال ِ قَبل، مُقارِن و بَعد از
- während der Diskussion; دَر طِى ِ اين بَحث، دَر هَنگام ِ
- während des Festes; دَر خَلال ِ عِيد
- während der 2 Jahre; دَر خَلال ِ ۲ سال
- während der Ferien; دَر اَيام ِ تَعَطيل
- das kannst du während des Nachmittags machen; اين کاررا موقِع ِ عَصر اَنجام بِدِه
- während ich auf dem Weg war, ..; توى ِ راه ...، وَقتى که دَر راه بودَم
währenddessen; دَر اين بِين، دَر اين فاصِله
Wahrhaftigkeit; صِداقَت، راستى
Wahrheit; حَقيقَت، واقِعيَت، راستى
- nur die Hälfte der Wahrheit; کاسه زير ِ نيم کاسه است
- Wahrheit ist bitter; اُلحَق مُر
